order_id,ship_date,delivery_date,delivery_status,courier
O12369,2025-01-29,2025-01-31,Late,FedEx
O12372,2025-01-29,2025-02-03,On Time,DHL
O12374,2025-01-31,2025-02-03,Late,Amazon Logistics
O12377,2025-02-01,2025-02-04,Late,UPS
O12382,2025-01-31,,On Time,Amazon Logistics
O12387,2025-02-01,2025-02-06,Late,FedEx
O12389,2025-02-01,2025-02-06,Late,FedEx
O12390,2025-02-01,2025-02-05,On Time,Amazon Logistics
O12391,2025-01-30,2025-02-04,Late,UPS
O12392,2025-01-31,2025-02-02,On Time,UPS
O12394,2025-02-01,2025-02-04,On Time,DHL
O12397,2025-01-30,2025-02-02,On Time,FedEx
O12400,2025-02-01,2025-02-03,Late,FedEx
O12401,2025-01-30,2025-02-04,On Time,FedEx
O12403,2025-01-31,2025-02-04,Late,UPS
O12404,2025-01-30,2025-02-02,On Time,Amazon Logistics
O12407,2025-01-31,2025-02-04,Late,UPS
O12409,2025-01-31,2025-02-02,On Time,Amazon Logistics
O12411,2025-02-01,2025-02-04,Late,UPS
O12412,2025-02-02,2025-02-05,On Time,Amazon Logistics
O12413,2025-02-02,2025-02-04,Late,DHL
O12414,2025-02-01,2025-02-04,On Time,DHL
O12416,2025-02-01,2025-02-04,On Time,DHL
O12418,2025-01-31,2025-02-03,On Time,Amazon Logistics
O12419,2025-02-01,2025-02-06,On Time,UPS
O12420,2025-02-01,2025-02-05,On Time,Amazon Logistics
O12421,2025-02-02,2025-02-05,On Time,FedEx
O12426,2025-01-31,,On Time,UPS
O12431,2025-02-01,2025-02-06,On Time,UPS
O12432,2025-02-01,2025-02-05,Late,UPS
O12433,2025-01-31,2025-02-05,On Time,Amazon Logistics
O12435,2025-02-02,2025-02-07,On Time,Amazon Logistics
O12436,2025-02-02,2025-02-07,Late,Amazon Logistics
O12438,2025-02-01,2025-02-04,Late,Amazon Logistics
O12441,2025-02-02,2025-02-05,On Time,Amazon Logistics
O12442,2025-02-02,2025-02-05,Late,FedEx
O12443,2025-01-31,2025-02-04,On Time,UPS
O12445,2025-02-02,2025-02-07,Late,UPS
O12447,2025-02-01,2025-02-06,On Time,FedEx
O12448,2025-02-01,2025-02-04,Late,UPS
O12454,2025-02-03,2025-02-08,On Time,DHL
O12456,2025-02-03,2025-02-06,Late,FedEx
O12457,2025-02-03,2025-02-05,Late,FedEx
O12460,2025-02-02,2025-02-06,On Time,Amazon Logistics
O12461,2025-02-03,2025-02-08,On Time,Amazon Logistics
O12462,2025-02-01,2025-02-04,Late,DHL
O12463,2025-02-01,2025-02-04,Late,Amazon Logistics
O12466,2025-02-02,2025-02-04,Late,DHL
O12467,2025-02-01,2025-02-03,Late,UPS
O12468,2025-02-02,2025-02-07,On Time,UPS
O12472,2025-02-02,2025-02-07,Late,DHL
O12475,2025-02-03,2025-02-05,On Time,UPS
O12476,2025-02-01,2025-02-06,Late,DHL
O12477,2025-02-02,2025-02-04,Late,UPS
O12478,2025-02-03,2025-02-08,On Time,DHL
O12480,2025-02-03,2025-02-06,Late,UPS
O12481,2025-02-01,2025-02-04,Late,UPS
O12483,2025-02-03,2025-02-08,On Time,FedEx
O12486,2025-02-02,2025-02-06,On Time,Amazon Logistics
O12487,2025-02-02,2025-02-04,On Time,FedEx
O12488,2025-02-02,2025-02-05,On Time,DHL
O12492,2025-02-01,2025-02-05,On Time,Amazon Logistics
O12493,2025-02-03,2025-02-07,Late,UPS
O12495,2025-02-01,2025-02-05,On Time,Amazon Logistics
O12498,2025-02-02,2025-02-05,Late,DHL
O12499,2025-02-02,2025-02-06,Late,DHL
O12501,2025-02-03,2025-02-07,On Time,Amazon Logistics
O12502,2025-02-01,2025-02-05,On Time,Amazon Logistics
O12503,2025-02-01,2025-02-03,On Time,UPS
O12506,2025-02-03,2025-02-08,On Time,FedEx
O12509,2025-02-01,2025-02-05,On Time,DHL
O12510,2025-02-01,,On Time,Amazon Logistics
O12514,2025-02-01,2025-02-03,On Time,DHL
O12516,2025-02-01,2025-02-06,Late,DHL
O12517,2025-02-01,2025-02-04,On Time,FedEx
O12520,2025-02-01,2025-02-04,On Time,FedEx
O12524,2025-02-01,2025-02-04,Late,UPS
O12525,2025-02-02,2025-02-05,On Time,UPS
O12527,2025-02-02,2025-02-07,Late,FedEx
O12528,2025-02-02,2025-02-06,Late,DHL
O12530,2025-02-03,2025-02-07,On Time,DHL
O12534,2025-02-03,2025-02-07,On Time,Amazon Logistics
O12539,2025-02-02,,On Time,Amazon Logistics
O12540,2025-02-03,2025-02-05,Late,UPS
O12541,2025-02-01,2025-02-03,Late,UPS
O12542,2025-02-01,2025-02-05,Late,DHL
O12543,2025-02-02,2025-02-05,On Time,DHL
O12544,2025-02-01,2025-02-03,Late,DHL
O12547,2025-02-01,2025-02-04,On Time,Amazon Logistics
O12548,2025-02-02,,On Time,FedEx
O12551,2025-02-02,2025-02-05,Late,Amazon Logistics
O12552,2025-02-03,2025-02-05,On Time,DHL
O12553,2025-02-02,2025-02-05,Late,DHL
O12554,2025-02-02,2025-02-07,Late,UPS
O12555,2025-02-01,2025-02-06,Late,DHL
O12557,2025-02-03,,Late,FedEx
O12559,2025-02-01,2025-02-04,Late,UPS
O12566,2025-02-04,2025-02-07,On Time,UPS
O12567,2025-02-03,2025-02-06,Late,FedEx
O12570,2025-02-02,2025-02-06,On Time,UPS
O12574,2025-02-04,2025-02-08,On Time,Amazon Logistics
O12575,2025-02-04,2025-02-08,Late,DHL
O12576,2025-02-03,2025-02-05,On Time,Amazon Logistics
O12577,2025-02-04,2025-02-07,Late,UPS
O12578,2025-02-02,2025-02-05,On Time,Amazon Logistics
O12579,2025-02-03,2025-02-05,On Time,FedEx
O12580,2025-02-03,2025-02-07,On Time,Amazon Logistics
O12585,2025-02-03,2025-02-05,Late,Amazon Logistics
O12586,2025-02-02,2025-02-06,On Time,UPS
O12587,2025-02-04,2025-02-08,Late,Amazon Logistics
O12591,2025-02-03,2025-02-06,Late,DHL
O12594,2025-02-03,2025-02-06,On Time,UPS
O12595,2025-02-04,2025-02-06,On Time,Amazon Logistics
O12598,2025-02-03,2025-02-08,Late,FedEx
O12601,2025-02-03,2025-02-06,Late,DHL
O12602,2025-02-03,2025-02-06,On Time,UPS
O12608,2025-02-04,2025-02-07,On Time,DHL
O12614,2025-02-03,2025-02-05,On Time,UPS
O12615,2025-02-04,,Late,UPS
O12617,2025-02-04,2025-02-07,On Time,DHL
O12618,2025-02-03,2025-02-07,On Time,FedEx
O12619,2025-02-02,2025-02-05,On Time,FedEx
O12621,2025-02-04,2025-02-08,On Time,DHL
O12622,2025-02-02,2025-02-04,On Time,DHL
O12623,2025-02-02,,On Time,FedEx
O12625,2025-02-02,2025-02-07,Late,DHL
O12628,2025-02-04,2025-02-09,Late,DHL
O12629,2025-02-04,2025-02-08,Late,FedEx
O12630,2025-02-04,2025-02-08,Late,UPS
O12632,2025-02-04,2025-02-08,On Time,FedEx
O12633,2025-02-03,2025-02-06,Late,FedEx
O12637,2025-02-04,2025-02-07,On Time,DHL
O12640,2025-02-04,2025-02-08,On Time,DHL
O12641,2025-02-04,2025-02-07,On Time,FedEx
O12642,2025-02-02,2025-02-07,Late,Amazon Logistics
O12644,2025-02-03,2025-02-07,Late,FedEx
O12646,2025-02-03,2025-02-05,On Time,DHL
O12647,2025-02-02,2025-02-07,On Time,DHL
O12652,2025-02-04,2025-02-09,Late,UPS
O12653,2025-02-02,2025-02-05,Late,DHL
O12657,2025-02-02,2025-02-07,Late,FedEx
O12660,2025-02-03,,Late,Amazon Logistics
O12661,2025-02-02,2025-02-06,On Time,UPS
O12664,2025-02-04,,Late,UPS
O12665,2025-02-04,2025-02-07,On Time,FedEx
O12666,2025-02-02,2025-02-06,Late,DHL
O12669,2025-02-03,2025-02-07,On Time,FedEx
O12672,2025-02-03,2025-02-06,On Time,Amazon Logistics
O12678,2025-02-04,2025-02-06,On Time,Amazon Logistics
O12682,2025-02-03,2025-02-08,Late,FedEx
O12683,2025-02-05,2025-02-09,Late,Amazon Logistics
O12684,2025-02-04,2025-02-06,On Time,Amazon Logistics
O12685,2025-02-03,2025-02-07,Late,DHL
O12686,2025-02-03,2025-02-08,Late,Amazon Logistics
O12687,2025-02-05,2025-02-07,On Time,UPS
O12689,2025-02-05,2025-02-09,On Time,DHL
O12691,2025-02-05,2025-02-08,Late,DHL
O12694,2025-02-05,2025-02-09,On Time,Amazon Logistics
O12696,2025-02-03,2025-02-07,On Time,DHL
O12697,2025-02-04,2025-02-09,Late,DHL
O12698,2025-02-05,2025-02-07,Late,DHL
O12699,2025-02-03,,On Time,FedEx
O12701,2025-02-03,2025-02-07,Late,FedEx
O12702,2025-02-03,2025-02-06,Late,FedEx
O12704,2025-02-04,2025-02-08,Late,DHL
O12705,2025-02-04,2025-02-06,On Time,Amazon Logistics
O12706,2025-02-04,2025-02-09,On Time,UPS
O12709,2025-02-03,2025-02-05,On Time,DHL
O12710,2025-02-03,2025-02-05,Late,DHL
O12715,2025-02-04,2025-02-09,Late,Amazon Logistics
O12716,2025-02-04,2025-02-06,On Time,FedEx
O12717,2025-02-04,2025-02-07,On Time,DHL
O12719,2025-02-05,2025-02-10,On Time,UPS
O12721,2025-02-05,2025-02-07,On Time,UPS
O12722,2025-02-05,2025-02-09,Late,UPS
O12724,2025-02-04,2025-02-08,Late,Amazon Logistics
O12726,2025-02-05,2025-02-08,On Time,DHL
O12728,2025-02-04,2025-02-08,Late,UPS
O12730,2025-02-03,2025-02-08,On Time,Amazon Logistics
O12732,2025-02-04,2025-02-08,Late,UPS
O12733,2025-02-04,2025-02-09,Late,UPS
O12736,2025-02-03,2025-02-05,Late,FedEx
O12737,2025-02-05,2025-02-07,Late,UPS
O12738,2025-02-05,2025-02-09,Late,UPS
O12739,2025-02-03,2025-02-07,Late,UPS
O12746,2025-02-04,2025-02-08,On Time,Amazon Logistics
O12747,2025-02-03,2025-02-08,On Time,DHL
O12748,2025-02-03,2025-02-05,On Time,FedEx
O12751,2025-02-03,2025-02-08,On Time,UPS
O12754,2025-02-05,2025-02-08,Late,Amazon Logistics
O12755,2025-02-05,2025-02-10,On Time,DHL
O12757,2025-02-03,,Late,UPS
O12758,2025-02-03,2025-02-06,Late,Amazon Logistics
O12761,2025-02-03,2025-02-06,Late,FedEx
O12763,2025-02-05,2025-02-08,Late,DHL
O12764,2025-02-03,2025-02-05,On Time,UPS
O12769,2025-02-03,2025-02-08,Late,Amazon Logistics
O12772,2025-02-04,2025-02-07,Late,DHL
O12775,2025-02-04,2025-02-08,Late,UPS
O12778,2025-02-05,2025-02-10,Late,FedEx
O12781,2025-02-05,2025-02-07,On Time,Amazon Logistics
O12787,2025-02-05,2025-02-10,On Time,UPS
O12788,2025-02-06,2025-02-09,On Time,FedEx
O12794,2025-02-04,2025-02-06,Late,UPS
O12797,2025-02-04,2025-02-06,On Time,DHL
O12798,2025-02-04,2025-02-09,Late,FedEx
O12801,2025-02-05,2025-02-07,Late,UPS
O12803,2025-02-04,2025-02-09,On Time,UPS
O12804,2025-02-04,2025-02-09,Late,DHL
O12807,2025-02-04,2025-02-09,Late,Amazon Logistics
O12810,2025-02-05,2025-02-08,On Time,DHL
O12813,2025-02-05,2025-02-07,On Time,Amazon Logistics
O12816,2025-02-06,2025-02-09,Late,DHL
O12818,2025-02-05,2025-02-09,Late,FedEx
O12821,2025-02-05,2025-02-07,On Time,Amazon Logistics
O12822,2025-02-04,2025-02-07,On Time,DHL
O12826,2025-02-06,2025-02-09,Late,Amazon Logistics
O12827,2025-02-05,2025-02-10,On Time,FedEx
O12829,2025-02-04,2025-02-08,Late,UPS
O12832,2025-02-04,2025-02-09,Late,FedEx
O12833,2025-02-04,,Late,FedEx
O12835,2025-02-05,2025-02-10,On Time,DHL
O12837,2025-02-04,2025-02-08,On Time,FedEx
O12841,2025-02-04,,On Time,FedEx
O12842,2025-02-05,2025-02-10,Late,DHL
O12843,2025-02-06,,On Time,DHL
O12846,2025-02-05,2025-02-10,Late,UPS
O12847,2025-02-04,,On Time,UPS
O12849,2025-02-04,2025-02-08,On Time,DHL
O12851,2025-02-05,2025-02-10,On Time,UPS
O12853,2025-02-05,2025-02-09,Late,UPS
O12854,2025-02-04,2025-02-09,On Time,FedEx
O12855,2025-02-05,2025-02-10,Late,Amazon Logistics
O12859,2025-02-06,,On Time,Amazon Logistics
O12862,2025-02-05,2025-02-09,Late,FedEx
O12864,2025-02-05,2025-02-10,On Time,DHL
O12866,2025-02-06,2025-02-10,Late,Amazon Logistics
O12867,2025-02-05,2025-02-07,Late,DHL
O12868,2025-02-04,2025-02-09,On Time,DHL
O12870,2025-02-05,2025-02-08,Late,UPS
O12871,2025-02-04,2025-02-08,On Time,UPS
O12873,2025-02-06,2025-02-10,On Time,DHL
O12876,2025-02-06,2025-02-11,Late,FedEx
O12878,2025-02-06,2025-02-11,Late,FedEx
O12881,2025-02-06,2025-02-08,Late,FedEx
O12882,2025-02-06,,On Time,UPS
O12883,2025-02-05,2025-02-07,Late,DHL
O12886,2025-02-06,2025-02-11,Late,Amazon Logistics
O12888,2025-02-06,,On Time,UPS
O12890,2025-02-05,2025-02-08,Late,Amazon Logistics
O12891,2025-02-05,2025-02-08,Late,Amazon Logistics
O12892,2025-02-04,2025-02-09,Late,FedEx
O12896,2025-02-06,2025-02-09,On Time,DHL
O12899,2025-02-04,2025-02-08,On Time,Amazon Logistics
O12901,2025-02-06,2025-02-08,On Time,DHL
O12902,2025-02-04,,On Time,FedEx
O12903,2025-02-06,2025-02-09,On Time,UPS
O12905,2025-02-05,2025-02-08,Late,UPS
O12907,2025-02-06,2025-02-09,Late,FedEx
O12908,2025-02-07,2025-02-12,Late,UPS
O12912,2025-02-06,2025-02-10,Late,Amazon Logistics
O12915,2025-02-06,2025-02-10,On Time,FedEx
O12916,2025-02-05,2025-02-10,Late,Amazon Logistics
O12917,2025-02-05,2025-02-08,On Time,FedEx
O12918,2025-02-05,2025-02-09,Late,DHL
O12919,2025-02-05,2025-02-08,Late,UPS
O12922,2025-02-06,,On Time,UPS
O12925,2025-02-05,2025-02-09,On Time,DHL
O12926,2025-02-05,2025-02-07,Late,Amazon Logistics
O12927,2025-02-05,2025-02-09,On Time,Amazon Logistics
O12928,2025-02-05,2025-02-08,On Time,DHL
O12929,2025-02-06,2025-02-10,On Time,UPS
O12932,2025-02-07,2025-02-12,On Time,DHL
O12937,2025-02-07,2025-02-12,On Time,Amazon Logistics
O12938,2025-02-07,2025-02-09,On Time,DHL
O12939,2025-02-06,2025-02-09,On Time,UPS
O12940,2025-02-07,2025-02-11,Late,DHL
O12951,2025-02-08,2025-02-13,Late,FedEx
O12952,2025-02-06,2025-02-10,On Time,UPS
O12955,2025-02-06,2025-02-10,Late,UPS
O12959,2025-02-06,2025-02-10,Late,DHL
O12961,2025-02-07,2025-02-10,On Time,FedEx
O12965,2025-02-08,2025-02-11,Late,UPS
O12968,2025-02-06,2025-02-10,On Time,FedEx
O12969,2025-02-07,2025-02-12,On Time,UPS
O12971,2025-02-07,2025-02-10,On Time,Amazon Logistics
O12973,2025-02-07,2025-02-10,On Time,DHL
O12978,2025-02-07,2025-02-11,Late,DHL
O12980,2025-02-06,2025-02-08,On Time,DHL
O12981,2025-02-08,,On Time,UPS
O12984,2025-02-08,2025-02-10,Late,FedEx
O12985,2025-02-06,2025-02-08,Late,FedEx
O12986,2025-02-07,2025-02-11,On Time,FedEx
O12987,2025-02-07,2025-02-11,On Time,DHL
O12990,2025-02-08,2025-02-12,On Time,DHL
O12993,2025-02-07,2025-02-12,On Time,Amazon Logistics
O12994,2025-02-06,2025-02-11,Late,FedEx
O12998,2025-02-07,2025-02-10,On Time,Amazon Logistics
O13000,2025-02-07,2025-02-11,On Time,DHL
O13002,2025-02-07,2025-02-10,Late,FedEx
O13003,2025-02-08,2025-02-12,Late,Amazon Logistics
O13004,2025-02-06,2025-02-11,On Time,Amazon Logistics
O13007,2025-02-06,2025-02-11,Late,UPS
O13008,2025-02-06,2025-02-08,On Time,FedEx
O13011,2025-02-07,,On Time,Amazon Logistics
O13013,2025-02-06,2025-02-11,Late,UPS
O13014,2025-02-08,2025-02-12,On Time,Amazon Logistics
O13015,2025-02-08,2025-02-12,On Time,DHL
O13016,2025-02-06,2025-02-08,On Time,UPS
O13018,2025-02-06,2025-02-08,Late,Amazon Logistics
O13019,2025-02-06,2025-02-08,On Time,DHL
O13020,2025-02-08,,On Time,UPS
O13021,2025-02-07,2025-02-10,Late,Amazon Logistics
O13023,2025-02-06,,Late,UPS
O13025,2025-02-06,,On Time,FedEx
O13026,2025-02-07,2025-02-10,On Time,UPS
O13027,2025-02-09,2025-02-13,Late,DHL
O13028,2025-02-09,2025-02-12,On Time,DHL
O13029,2025-02-08,2025-02-11,Late,UPS
O13030,2025-02-07,2025-02-12,On Time,FedEx
O13031,2025-02-09,2025-02-12,On Time,DHL
O13033,2025-02-08,2025-02-13,Late,DHL
O13034,2025-02-08,2025-02-12,On Time,Amazon Logistics
O13035,2025-02-07,2025-02-12,Late,FedEx
O13037,2025-02-08,2025-02-10,On Time,UPS
O13038,2025-02-08,,On Time,UPS
O13040,2025-02-08,,Late,Amazon Logistics
O13041,2025-02-09,2025-02-13,Late,UPS
O13044,2025-02-07,2025-02-11,On Time,UPS
O13046,2025-02-08,,Late,FedEx
O13048,2025-02-09,2025-02-12,On Time,DHL
O13049,2025-02-09,2025-02-11,On Time,Amazon Logistics
O13050,2025-02-07,2025-02-10,Late,Amazon Logistics
O13051,2025-02-07,2025-02-10,On Time,FedEx
O13058,2025-02-07,2025-02-10,On Time,UPS
O13059,2025-02-08,2025-02-11,Late,FedEx
O13060,2025-02-09,2025-02-11,On Time,FedEx
O13061,2025-02-07,2025-02-12,On Time,Amazon Logistics
O13062,2025-02-09,2025-02-11,Late,FedEx
O13063,2025-02-08,2025-02-12,On Time,Amazon Logistics
O13070,2025-02-09,2025-02-14,On Time,DHL
O13071,2025-02-09,2025-02-14,Late,Amazon Logistics
O13075,2025-02-09,2025-02-14,Late,Amazon Logistics
O13076,2025-02-08,,Late,Amazon Logistics
O13081,2025-02-08,2025-02-12,On Time,UPS
O13085,2025-02-07,2025-02-12,Late,UPS
O13087,2025-02-07,2025-02-10,Late,DHL
O13090,2025-02-09,2025-02-13,On Time,DHL
O13091,2025-02-08,2025-02-11,Late,UPS
O13093,2025-02-08,2025-02-10,On Time,Amazon Logistics
O13094,2025-02-07,2025-02-12,On Time,DHL
O13097,2025-02-09,,Late,DHL
O13098,2025-02-07,2025-02-11,On Time,DHL
O13102,2025-02-08,,On Time,DHL
O13104,2025-02-07,2025-02-09,On Time,Amazon Logistics
O13105,2025-02-07,2025-02-10,Late,FedEx
O13106,2025-02-08,2025-02-13,On Time,Amazon Logistics
O13108,2025-02-08,2025-02-10,On Time,FedEx
O13110,2025-02-09,2025-02-13,On Time,FedEx
O13113,2025-02-08,2025-02-13,On Time,FedEx
O13117,2025-02-08,2025-02-13,On Time,Amazon Logistics
O13119,2025-02-08,2025-02-11,On Time,UPS
O13120,2025-02-09,2025-02-11,On Time,Amazon Logistics
O13121,2025-02-10,2025-02-15,Late,Amazon Logistics
O13122,2025-02-09,2025-02-11,On Time,DHL
O13124,2025-02-10,2025-02-14,Late,DHL
O13125,2025-02-10,2025-02-13,On Time,DHL
O13127,2025-02-10,2025-02-15,On Time,FedEx
O13128,2025-02-09,2025-02-11,On Time,UPS
O13130,2025-02-10,2025-02-13,Late,DHL
O13131,2025-02-10,2025-02-12,On Time,Amazon Logistics
O13132,2025-02-08,2025-02-11,On Time,FedEx
O13133,2025-02-10,2025-02-15,On Time,UPS
O13134,2025-02-10,2025-02-14,Late,Amazon Logistics
O13135,2025-02-08,2025-02-13,On Time,DHL
O13136,2025-02-09,2025-02-11,Late,Amazon Logistics
O13137,2025-02-10,2025-02-15,Late,FedEx
O13138,2025-02-10,2025-02-14,Late,UPS
O13140,2025-02-08,2025-02-11,On Time,Amazon Logistics
O13141,2025-02-09,2025-02-13,Late,DHL
O13142,2025-02-10,,On Time,Amazon Logistics
O13143,2025-02-10,2025-02-14,On Time,UPS
O13144,2025-02-09,2025-02-12,On Time,UPS
O13148,2025-02-08,2025-02-13,Late,FedEx
O13150,2025-02-08,,On Time,FedEx
O13151,2025-02-10,2025-02-15,On Time,FedEx
O13153,2025-02-10,2025-02-15,On Time,UPS
O13154,2025-02-08,2025-02-13,On Time,Amazon Logistics
O13156,2025-02-08,2025-02-10,Late,DHL
O13157,2025-02-10,2025-02-13,Late,DHL
O13158,2025-02-10,2025-02-12,On Time,UPS
O13159,2025-02-09,2025-02-11,Late,UPS
O13160,2025-02-10,2025-02-15,On Time,Amazon Logistics
O13166,2025-02-10,2025-02-15,On Time,Amazon Logistics
O13170,2025-02-09,2025-02-14,On Time,UPS
O13175,2025-02-08,2025-02-10,On Time,DHL
O13176,2025-02-09,,Late,Amazon Logistics
O13177,2025-02-09,2025-02-11,Late,UPS
O13179,2025-02-11,2025-02-15,Late,UPS
O13180,2025-02-11,,Late,DHL
O13181,2025-02-11,2025-02-15,On Time,FedEx
O13182,2025-02-10,2025-02-12,On Time,DHL
O13185,2025-02-10,2025-02-15,Late,UPS
O13186,2025-02-11,2025-02-15,Late,Amazon Logistics
O13187,2025-02-09,2025-02-12,Late,FedEx
O13190,2025-02-09,2025-02-13,On Time,FedEx
O13192,2025-02-09,2025-02-13,On Time,UPS
O13194,2025-02-09,2025-02-14,On Time,UPS
O13196,2025-02-11,2025-02-13,Late,Amazon Logistics
O13198,2025-02-11,2025-02-16,Late,UPS
O13200,2025-02-09,2025-02-13,Late,UPS
O13201,2025-02-10,2025-02-12,Late,DHL
O13202,2025-02-09,,On Time,DHL
O13204,2025-02-10,2025-02-15,Late,FedEx
O13206,2025-02-10,2025-02-13,Late,DHL
O13207,2025-02-11,2025-02-15,On Time,DHL
O13213,2025-02-10,2025-02-13,Late,Amazon Logistics
O13219,2025-02-11,2025-02-13,Late,DHL
O13222,2025-02-10,2025-02-13,On Time,DHL
O13223,2025-02-11,2025-02-13,On Time,FedEx
O13224,2025-02-11,2025-02-16,Late,FedEx
O13225,2025-02-10,2025-02-14,On Time,Amazon Logistics
O13227,2025-02-09,2025-02-12,Late,FedEx
O13230,2025-02-11,,On Time,FedEx
O13234,2025-02-11,2025-02-14,On Time,Amazon Logistics
O13236,2025-02-10,2025-02-14,On Time,UPS
O13238,2025-02-11,2025-02-14,Late,FedEx
O13243,2025-02-12,2025-02-17,On Time,UPS
O13244,2025-02-12,2025-02-15,On Time,Amazon Logistics
O13245,2025-02-12,2025-02-16,On Time,DHL
O13250,2025-02-10,2025-02-12,On Time,Amazon Logistics
O13252,2025-02-11,2025-02-13,Late,Amazon Logistics
O13253,2025-02-10,2025-02-12,On Time,DHL
O13261,2025-02-11,2025-02-14,On Time,Amazon Logistics
O13262,2025-02-12,2025-02-16,Late,UPS
O13264,2025-02-12,2025-02-17,On Time,FedEx
O13269,2025-02-12,2025-02-15,On Time,UPS
O13271,2025-02-12,2025-02-15,Late,UPS
O13273,2025-02-11,2025-02-14,Late,FedEx
O13274,2025-02-10,2025-02-14,Late,DHL
O13277,2025-02-12,2025-02-16,Late,DHL
O13279,2025-02-12,2025-02-17,Late,DHL
O13281,2025-02-11,2025-02-13,Late,UPS
O13283,2025-02-11,,On Time,Amazon Logistics
O13284,2025-02-11,,On Time,FedEx
O13285,2025-02-12,2025-02-17,On Time,UPS
O13288,2025-02-13,2025-02-17,Late,Amazon Logistics
O13289,2025-02-12,2025-02-16,Late,Amazon Logistics
O13291,2025-02-11,2025-02-13,Late,Amazon Logistics
O13302,2025-02-13,2025-02-16,Late,UPS
O13304,2025-02-11,2025-02-15,On Time,UPS
O13305,2025-02-13,2025-02-16,Late,FedEx
O13309,2025-02-13,2025-02-16,Late,FedEx
O13310,2025-02-11,2025-02-15,Late,Amazon Logistics
O13311,2025-02-12,2025-02-17,Late,UPS
O13313,2025-02-12,2025-02-15,Late,Amazon Logistics
O13316,2025-02-11,2025-02-14,On Time,UPS
O13319,2025-02-12,2025-02-16,On Time,Amazon Logistics
O13321,2025-02-12,2025-02-17,Late,FedEx
O13322,2025-02-12,2025-02-15,Late,UPS
O13323,2025-02-12,2025-02-14,On Time,DHL
O13325,2025-02-11,,Late,UPS
O13327,2025-02-13,2025-02-16,On Time,UPS
O13329,2025-02-12,2025-02-14,Late,FedEx
O13334,2025-02-13,2025-02-17,On Time,Amazon Logistics
O13336,2025-02-12,2025-02-16,On Time,UPS
O13337,2025-02-11,,On Time,FedEx
O13339,2025-02-11,2025-02-16,Late,DHL
O13341,2025-02-12,2025-02-16,Late,FedEx
O13343,2025-02-13,2025-02-17,Late,FedEx
O13344,2025-02-11,,Late,Amazon Logistics
O13345,2025-02-11,2025-02-14,On Time,FedEx
O13346,2025-02-12,2025-02-17,Late,UPS
O13347,2025-02-13,2025-02-18,Late,UPS
O13349,2025-02-13,2025-02-18,Late,FedEx
O13353,2025-02-13,,Late,Amazon Logistics
O13354,2025-02-13,2025-02-17,On Time,Amazon Logistics
O13355,2025-02-11,2025-02-15,Late,DHL
O13356,2025-02-11,2025-02-15,Late,Amazon Logistics
O13357,2025-02-11,2025-02-16,Late,DHL
O13362,2025-02-12,2025-02-15,Late,Amazon Logistics
O13365,2025-02-13,2025-02-15,Late,Amazon Logistics
O13367,2025-02-13,2025-02-16,Late,UPS
O13370,2025-02-13,2025-02-16,On Time,UPS
O13373,2025-02-11,2025-02-13,Late,Amazon Logistics
O13375,2025-02-13,2025-02-16,Late,FedEx
O13377,2025-02-12,2025-02-16,On Time,Amazon Logistics
O13378,2025-02-13,2025-02-18,On Time,UPS
O13379,2025-02-11,2025-02-16,On Time,Amazon Logistics
O13382,2025-02-13,,On Time,FedEx
O13385,2025-02-12,2025-02-14,Late,Amazon Logistics
O13386,2025-02-12,2025-02-16,Late,DHL
O13387,2025-02-12,2025-02-16,Late,DHL
O13389,2025-02-12,2025-02-16,On Time,DHL
O13390,2025-02-11,2025-02-13,On Time,FedEx
O13392,2025-02-14,2025-02-16,On Time,FedEx
O13394,2025-02-13,2025-02-15,Late,DHL
O13396,2025-02-12,2025-02-15,On Time,FedEx
O13400,2025-02-12,2025-02-16,Late,Amazon Logistics
O13402,2025-02-13,2025-02-18,On Time,FedEx
O13403,2025-02-14,2025-02-17,On Time,DHL
O13404,2025-02-12,2025-02-16,On Time,Amazon Logistics
O13406,2025-02-12,2025-02-15,Late,Amazon Logistics
O13412,2025-02-12,2025-02-15,On Time,Amazon Logistics
O13415,2025-02-13,,On Time,UPS
O13416,2025-02-12,,Late,DHL
O13419,2025-02-12,2025-02-17,Late,FedEx
O13422,2025-02-13,2025-02-16,Late,DHL
O13424,2025-02-14,,Late,FedEx
O13425,2025-02-14,2025-02-16,Late,Amazon Logistics
O13426,2025-02-14,2025-02-16,On Time,UPS
O13428,2025-02-15,,On Time,DHL
O13429,2025-02-15,2025-02-19,On Time,Amazon Logistics
O13431,2025-02-13,,Late,FedEx
O13433,2025-02-14,2025-02-17,Late,FedEx
O13434,2025-02-14,2025-02-19,Late,Amazon Logistics
O13435,2025-02-13,2025-02-17,Late,UPS
O13436,2025-02-13,2025-02-17,On Time,Amazon Logistics
O13438,2025-02-14,2025-02-18,On Time,UPS
O13441,2025-02-13,2025-02-17,Late,FedEx
O13443,2025-02-15,2025-02-19,Late,FedEx
O13445,2025-02-15,,On Time,Amazon Logistics
O13446,2025-02-15,2025-02-18,On Time,Amazon Logistics
O13449,2025-02-16,2025-02-21,On Time,FedEx
O13451,2025-02-15,2025-02-17,Late,UPS
O13456,2025-02-15,2025-02-18,Late,FedEx
O13457,2025-02-14,2025-02-18,Late,UPS
O13458,2025-02-16,2025-02-19,On Time,FedEx
